Date,Weekly Mean Price,Weekly Max Price
2021-05-19,65.05999999999999,66.24
2021-05-20,64.58,66.24
2021-05-21,64.24428571428571,66.24
2021-05-24,64.57428571428572,66.24
2021-05-25,64.71,66.27
2021-05-26,64.73428571428572,66.41
2021-05-27,64.93142857142857,66.87
2021-05-28,65.36428571428571,66.87
2021-06-01,66.2,67.8
2021-06-02,66.94,68.79
2021-06-03,67.32285714285715,68.81
2021-06-04,67.79428571428572,69.57
2021-06-07,68.19428571428571,69.57
2021-06-08,68.65714285714286,70.11
2021-06-09,69.17,70.11
2021-06-10,69.53285714285714,70.34
2021-06-11,69.84857142857143,71.0
2021-06-14,70.15285714285714,71.0
2021-06-15,70.50857142857143,72.06
2021-06-16,70.91142857142857,72.06
2021-06-17,71.04714285714286,72.06
2021-06-18,71.29571428571428,72.06
2021-06-21,71.76714285714284,73.64
2021-06-22,72.07428571428571,73.64
2021-06-23,72.38428571428572,73.64
2021-06-24,72.56285714285714,73.64
2021-06-25,72.87428571428572,74.21
2021-06-28,73.14857142857143,74.21
2021-06-29,73.36285714285715,74.21
2021-06-30,73.34571428571428,74.21
2021-07-01,73.65714285714286,75.33
2021-07-02,73.97999999999999,75.37
2021-07-06,74.02428571428571,75.37
2021-07-07,73.74,75.37
2021-07-08,73.74000000000001,75.37
2021-07-09,73.94285714285716,75.37
2021-07-12,74.04142857142857,75.37
2021-07-13,74.02857142857142,75.37
2021-07-14,73.69857142857143,75.24
2021-07-15,73.41999999999999,75.24
2021-07-16,73.35428571428572,75.24
2021-07-19,72.42142857142856,75.24
2021-07-20,71.38714285714285,75.24
2021-07-21,70.82285714285715,75.24
2021-07-22,70.38142857142857,73.06
2021-07-23,70.26428571428572,72.24
2021-07-26,70.33285714285715,72.24
2021-07-27,70.32142857142857,72.24
2021-07-28,71.16714285714286,72.37
2021-07-29,72.06714285714287,73.62
2021-07-30,72.59142857142858,73.93
2021-08-02,72.47142857142858,73.93
2021-08-03,72.24285714285715,73.93
2021-08-04,71.67714285714285,73.93
2021-08-05,71.30857142857143,73.93
2021-08-06,70.72142857142856,73.93
2021-08-09,69.71285714285713,73.93
2021-08-10,68.91285714285713,71.31
2021-08-11,68.62571428571428,70.64
2021-08-12,68.40857142857143,69.3
2021-08-13,68.43285714285715,69.3
2021-08-16,68.19571428571429,69.3
2021-08-17,67.94428571428571,69.3
2021-08-18,67.77285714285715,69.3
2021-08-19,67.11,69.3
2021-08-20,66.10285714285715,69.12
2021-08-23,65.60714285714286,68.36
2021-08-24,65.48428571428572,67.5
2021-08-25,65.64142857142858,68.54
2021-08-26,65.77285714285715,68.54
2021-08-27,66.27000000000001,68.84
2021-08-30,67.06857142857143,69.28
